Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,1uF,
C10,0805,1,1nF,
"C12, C14, C2, C4, C5",0805,5,0.1uF,
C13,CP_Radial_D10.0mm_P5.00mm,1,22uF,
"C6, C7",CP_Radial_D12.5mm_P5.00mm,2,470uF,
C9,0805,1,100nF,
CR1,SMA_DIO,1,SMAZ15-13-F,
"D1, D10, D2, D3, D5, D6",Nexperia_CFP15_SOT-1289,6,PMEG045V150EPD,
D11,D_SOD-123F,1,SZSMF4L15CAT3G,
D12,0805,1,LED Green,
D8,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
D9,3220,1,LED,
"F2, F3",Fuseholder_Clip-6.3x32mm_Littelfuse_102071_Inline_P34.70x7.60mm_D2.00mm_Horizontal,2,12A,
J1,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
L2,L_Radial_D29.8mm_P29.30mm_Murata_1400series,1,100uH 10.5A,
Q1,TO-92_Inline,1,2n3904,
Q3,TO-92_Inline,1,BC337,
Q6,TO-92_Inline,1,BC557,
"Q7, Q9",TO-220-3_Vertical,2,IRLZ44N,
Q8,TO-92_Inline,1,BC327,
"R1, R40, R43",0805,3,2k2,
"R10, R3, R41, R44",0805,4,10K,
R11,0805,1,2.2K,
"R17, R35, R36",0805,3,47K,
R2,0805,1,5,
R31,0805,1,56k,
R34,0805,1,560R,
"R37, R38, R45",0805,3,2K,
R39,0805,1,0R1,
R42,0805,1,39K,
"R7, R9",0805,2,1K,
RV1,Potentiometer_Bourns_3339P_Vertical_HandSoldering,1,10K,
U4,DIP-16_W7.62mm_Socket,1,TL494,
U5,DIP-8_W7.62mm_Socket,1,LM358,
U6,DIP-8_W7.62mm_Socket,1,TL431D,
