Designator,Mid X,Mid Y,Rotation,Layer
C1,156.21,-74.61,270.0,top
C10,135.6575,-78.74,180.0,top
C13,187.867677,-129.794,0.0,top
C14,174.082323,-129.794,180.0,top
C2,160.02,-74.61,270.0,top
C3,161.98,-68.26,270.0,top
C4,158.97,-68.26,270.0,top
C5,175.26,-84.873959,270.0,top
C6,190.754,-84.365959,270.0,top
C7,206.248,-84.365959,270.0,top
C9,133.5825,-68.04,0.0,top
CR1,182.88,-64.1828,90.0,top
CR2,141.732,-97.459801,270.0,top
D1,163.15,-100.08,90.0,top
D10,163.15,-91.19,90.0,top
D11,200.784,-127.0,0.0,top
D12,109.3855,-91.176,180.0,top
D2,162.83,-109.22,90.0,top
D3,162.83,-119.38,90.0,top
D4,137.16,-104.648,0.0,top
D5,161.23,-82.665,180.0,top
D6,152.16,-82.345,180.0,top
D8,121.148,-83.048,90.0,top
D9,113.0985,-74.92,180.0,top
F2,107.618,-130.302,180.0,top
J1,127.0,-59.69,0.0,top
L2,187.96,-107.95,0.0,top
Q1,177.44,-64.77,90.0,top
Q2,150.185,-96.774,90.0,top
Q3,134.98,-97.380601,270.0,top
Q6,133.71,-73.66,270.0,top
R1,140.462,-89.5585,90.0,top
R11,135.89,-53.07,270.0,top
R17,131.08,-64.5,270.0,top
R3,189.23,-64.77,90.0,top
R31,135.89,-64.5,270.0,top
R34,157.74,-52.06,0.0,top
R35,170.45,-66.04,0.0,top
R36,169.91,-58.42,0.0,top
R37,170.45,-62.23,0.0,top
R38,169.91,-54.61,180.0,top
R39,176.26,-54.61,180.0,top
R4,134.366,-89.8125,90.0,top
R40,127.0,-74.66,270.0,top
R41,127.27,-80.01,90.0,top
R42,139.97,-78.74,180.0,top
R43,103.13,-78.222,0.0,top
R44,103.13,-82.794,0.0,top
R45,114.274,-91.176,0.0,top
R7,103.2175,-86.604,0.0,top
R9,133.35,-59.96,90.0,top
RV1,169.687,-72.898,270.0,top
RV2,127.239,-53.086,90.0,top
TP1,143.002,-83.82,0.0,top
TP2,149.352,-106.172,0.0,top
TP3,143.51,-52.07,0.0,top
TP5,178.054,-72.644,0.0,top
U4,147.32,-67.31,0.0,top
U5,162.57,-59.7,180.0,top
U6,112.776,-83.566,180.0,top
